pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
123.5,-139.0,0.0,bottom,B1,CR2032-BS-6-1,,BAT-TH_CR2032-BS-6-1,CR2032-BS-6-1,tht
126.5,-81.0,180.0,bottom,BUZZER,PKLCS1212E4001-R1,,BUZ-SMD_2P-L12.0-W12.0-L_PKLCS1212E4001-R1,PKLCS1212E4001-R1,smt
116.0,-91.0,180.0,bottom,GND,,,TestPoint_Pad_3.0x3.0mm,TestPoint,tht
125.5,-150.5,180.0,bottom,GND,,,TestPoint_Pad_3.0x3.0mm,TestPoint,tht
110.775,-82.49,180.0,bottom,R1,,,C_0603_1608Metric,47,smt
110.725,-79.5,0.0,bottom,R2,,,C_0603_1608Metric,47,smt
135.0,-91.0,180.0,bottom,SDA,,,TestPoint_Pad_3.0x3.0mm,TestPoint,tht
129.0,-91.0,180.0,bottom,SLA,,,TestPoint_Pad_3.0x3.0mm,TestPoint,tht
103.0,-139.0,180.0,bottom,SW2,,,SW_SPST_B3U-1000P,SW_SPST,smt
142.525,-138.025,180.0,bottom,TP9,,,TestPoint_Pad_1.0x1.0mm,TestPoint,tht
103.5,-90.5,180.0,bottom,Touch_1,,,TestPoint_Pad_1.0x1.0mm,TestPoint,tht
104.12,-128.81,0.0,bottom,U1,ATTINY1614-SSN,,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,ATTINY1614-SSN_C614832,smt
118.5,-150.5,180.0,bottom,UDPI,,,TestPoint_Pad_3.0x3.0mm,TestPoint,tht
122.5,-91.0,180.0,bottom,VDD,,,TestPoint_Pad_3.0x3.0mm,TestPoint,tht
132.5,-150.5,180.0,bottom,VDD,,,TestPoint_Pad_3.0x3.0mm,TestPoint,tht
